지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C),평균 해면기압(hPa),합계 강수량(mm),일 최다 강수량(mm),일 최다 강수량 나타난날(yyyymmdd),평균 상대습도(%),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균 풍속(m/s),최다 풍향(16방위),합계 소형 증발량(mm),합계 대형 증발량(mm)
114,원주,2013,11.9,-20.3,20130104,34.1,20130812,7,17.5,1015.8,1501.1,225,20130722,69.4,2346.6,52.7,4613.12,1.4,250,,
114,원주,2014,12.8,-14.7,20141218,35.9,20140725,7.7,18.6,1016.4,801.3,57.5,20140810,67,2420.1,54.35,5255.71,1.4,50,,
114,원주,2015,13.6,-13.1,20150209,37,20150807,8.6,19.1,1016.2,903.8,89.5,20150724,65.6,2593.2,58.36,5095.94,1.4,250,,
114,원주,2016,13.4,-15.9,20160124,35.7,20160820,8.8,18.5,1016.2,874.6,111.9,20160705,60.8,2093,47.18,4898.59,1.1,250,555,388.3
114,원주,2017,12.1,-15.2,20170124,34.8,20170805,7.3,17.3,1016.4,1063.6,81.2,20170704,59.6,2193.9,49.51,5189,1,250,1308.4,916.3
114,원주,2018,12.4,-17.4,20180127,38.8,20180815,7.7,17.7,1016.7,1229.2,114.6,20180626,59.9,2413.9,54.21,5387.74,1.1,250,1366.1,955
114,원주,2019,13,-11.3,20190103,35.9,20190810,8.1,18.3,1016.3,771.9,54.8,20190911,59.5,2359.3,52.99,5228.79,1,250,1348.4,944.3
114,원주,2020,12.8,-14.6,20201217,34.5,20200622,8.2,17.9,1016.5,1317,93.2,20200802,62.2,2279.5,51.09,5071.69,1.1,250,1284.6,900.3
114,원주,2021,13,-18.4,20210109,35.6,20210724,8.2,18.2,1016.5,1113,80.4,20210708,64.4,2286.3,51.35,5166.86,1,20,1274.3,891.1
115,울릉도,2010,12.6,-7.2,20100113,32.7,20100801,10.2,15.5,1014.8,1448.3,86,20100523,71.3,1837.7,41.27,,4,230,1147.3,578.3
115,울릉도,2011,12.1,-8.6,20110115,31.1,20110811,9.7,14.9,1015.3,1795.8,148,20110626,72.7,1708.5,38.36,,4.3,70,1080.8,545.7
115,울릉도,2012,11.9,-8.1,20120202,31.4,20120727,9.5,14.9,1014.9,1777.1,103.5,20120916,73.2,1688.4,37.83,,3.9,70,1047.3,643.8
115,울릉도,2013,12.7,-9.7,20130208,35.4,20130808,10.2,15.9,1014.6,1265.9,94.5,20131008,69.5,2037.8,45.76,,3.9,230,1219.8,623.9
115,울릉도,2014,12.8,-6.3,20141217,31.3,20140601,10.3,15.9,1015.7,1531.4,124.5,20140821,66.9,2095.8,47.07,,3.8,50,1361.5,569.2
115,울릉도,2015,13.1,-6.9,20150209,33.7,20150731,10.6,16.2,1015.5,1393.5,115.5,20151107,68.2,2324.1,52.19,,3.8,230,1293.5,635.8
115,울릉도,2016,13.2,-9.9,20160124,31.5,20160814,10.7,16.3,1015.6,2050.4,220.5,20160829,69.7,2121.3,47.53,419.19,4,200,1099,550.3
115,울릉도,2017,13.1,-7,20170114,32.4,20170721,10.5,16.2,1015.1,1181.7,81.6,20170911,65.1,2406.7,54.17,3464.08,3.9,200,1277.1,892.9
115,울릉도,2018,13,-10.7,20180124,34.5,20180804,10.5,16,1015.7,1586.4,111,20181005,67.2,2289.9,51.43,3391.45,4.1,200,1219.6,852.5
115,울릉도,2019,13.7,-2.9,20190126,32.7,20190801,11.1,16.8,1015.3,1367.4,147.4,20190627,68.4,2371.6,53.41,3479.29,3.9,50,1198.7,839
115,울릉도,2020,13.4,-5.5,20201231,32,20200816,11,16.5,1015.2,1462,83,20200710,73.1,1948.8,43.67,4954.9,3.8,230,1338.6,935.8
115,울릉도,2021,13.5,-9,20210108,32.2,20210804,11,16.7,1015.1,1533,92.7,20210824,75.7,1860.1,41.76,5017.16,3.6,70,1294,905.9
119,수원,2010,12.2,-18.6,20100106,34.2,20100805,7.9,17.1,1016.4,1470.6,97.5,20100829,73.6,2027.9,45.54,4663.59,1.8,270,1024.7,551.7
119,수원,2011,11.8,-16.9,20110116,35.8,20110718,7.4,16.8,1017,1975.9,190,20110703,70.1,2146.5,48.58,4741.84,1.7,290,1074,575.2
119,수원,2012,12.1,-16.2,20120203,37.4,20120805,7.7,17.2,1016,1748.3,276.5,20120706,69.2,2291.6,51.36,5038.99,1.8,270,1157.1,636.5
119,수원,2013,12.3,-18.1,20130104,34.7,20130822,7.8,17.5,1016.1,1240.1,79,20130713,71.7,2310.2,51.88,4845.8,1.7,270,1054.8,592.3
119,수원,2014,13.1,-11.1,20141218,34.6,20140725,8.5,18.6,1016.7,1029.1,117.7,20140821,67.9,2372.7,53.29,4417.51,1.8,270,1100,631.2
119,수원,2015,13.5,-11.7,20150209,35.3,20150807,8.8,19,1016.6,751.1,64.7,20150729,67.7,2450.3,55.03,4267.25,1.8,270,1200.2,635.8
119,수원,2016,13.6,-16.2,20160124,36.5,20160821,9,19.1,1016.7,1023.4,104.2,20160701,67.7,2367.2,53.05,4230.58,1.8,290,1154.6,669.9
119,수원,2017,12.6,-13.6,20170124,36.9,20170805,7.8,18.3,1016.9,1328.6,130.8,20170820,67.4,2606.1,58.53,4437.68,1.8,290,1193.2,835.2
119,수원,2018,12.7,-16.8,20180126,39.3,20180801,7.9,18.5,1017.2,1293.1,124.8,20180828,67.3,2605.5,58.52,5098.66,1.8,270,1343.1,939.9
119,수원,2019,13.2,-10.8,20191206,36.5,20190806,8.2,18.8,1016.7,915.8,108,20190726,69.7,2475,55.76,5097.62,1.8,270,1326.1,928.6
119,수원,2020,12.9,-12.6,20201231,34.9,20200825,8.5,18,1016.9,1635.5,134.2,20200809,75.9,2444.2,54.78,5037.87,2,270,1193.4,836.4
